pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B,C} -> {A,B}",4,"{B,C}:2;{C,E}:1;{A,B,F}:1","{B,C};{C,E};{A,B,F}",Z:2;X:2,Y2:2;Y1:2
"{E,F,G}",4,"{E,F}:1;{C,H}:1","{E,F};{C,H}",Z:4,Y2:4
"{C,D} -> {C,D,G}",4,"{A,C,D,E}:1","{A,C,D,E}",X:4,Y1:4
"{A,B,F} -> {B,C}",4,"{B,C}:1;{A,H}:1;{A,D}:1;{B,C,H}:1","{B,C};{A,H};{A,D};{B,C,H}",X:4,Y1:4
"{A,B} -> {A,B,F} -> {B,C}",4,"{B,C}:1;{A,H}:1;{A,D}:1;{B,C,H}:1","{B,C};{A,H};{A,D};{B,C,H}",X:4,Y1:4
"{B,E,F} -> {E,F}",4,"{E,F,H}:1;{A,H}:1;{B,E}:1","{E,F,H};{A,H};{B,E}",Z:4,Y2:4
"{A,B} -> {A,B,E} -> {B,C}",4,"{C,D}:2;{A,B,C}:1;{B,C,F}:1","{C,D};{A,B,C};{B,C,F}",X:4,Y1:4
"{B,D,E} -> {B,E}",4,"{B,C,D,E}:1;{A,E,F}:1;{B,E,F}:1;{E,F}:1","{B,C,D,E};{A,E,F};{B,E,F};{E,F}",Z:4,Y2:4
"{B,C} -> {B,C,E}",3,"{C,D,G}:2;{C,D}:1","{C,D,G};{C,D}",X:3,Y1:3
"{A,B,C} -> {B,C} -> {C,D}",3,"{D,H}:1;{A,C,D,H}:1;{C,D,H}:1","{D,H};{A,C,D,H};{C,D,H}",X:3,Y1:3
"{B,C,E,F}",3,"{E,F}:2;{B,C,E,F}:1","{E,F};{B,C,E,F}",Z:3,Y2:3
"{B,C,D,F}",3,"{B,F}:1;{C,D}:1;{B,C}:1","{B,F};{C,D};{B,C}",X:2;N:1,Y1:2;YN:1
"{B,C,G} -> {B,C}",3,"{B,C,F}:1;{A,B,C}:1;{C,D,G}:1","{B,C,F};{A,B,C};{C,D,G}",X:3,Y1:3
"{B,E} -> {B,C,E} -> {E,F}",3,"{E,F,H}:1","{E,F,H}",Z:3,Y2:3
"{B,H}",3,"{B,F,H}:1;{C,D}:1;{A,B}:1","{B,F,H};{C,D};{A,B}",N:1;X:1;Z:1,YN:1;Y1:1;Y2:1
"{E,F} -> {A,E,F}",3,,,Z:3,Y2:3
"{C,D} -> {C,D,F}",3,,,X:3,Y1:3
"{B,C} -> {B,C,D}",3,"{C,D}:3","{C,D}",X:3,Y1:3
"{B,C} -> {B,C,D} -> {C,D}",3,"{A,C,D,H}:1","{A,C,D,H}",X:3,Y1:3
"{B,E} -> {E,F} -> {C,E,F}",3,"{E,F,G}:1","{E,F,G}",Z:3,Y2:3
"{B,E} -> {B,E,H}",3,"{E,F}:1;{G,H}:1;{E,F,H}:1","{E,F};{G,H};{E,F,H}",Z:3,Y2:3
"{B,C} -> {C,D} -> {C,D,H}",3,,,X:3,Y1:3
"{A,B} -> {A,B,F} -> {B,E}",3,"{A,E,F}:1;{A,B,E}:1;{E,F}:1","{A,E,F};{A,B,E};{E,F}",Z:3,Y2:3
"{A,F}",3,"{A,B,F}:1;{F,G}:1;{A,E,F}:1","{A,B,F};{F,G};{A,E,F}",N:2;Z:1,YN:2;Y2:1
"{E,F} -> {D,E}",3,"{E,F}:1;{C,D}:1","{E,F};{C,D}",Z:2;N:1,Y2:2;YN:1
"{F,G}",3,"{G,H}:1;{F,G}:1","{G,H};{F,G}",N:3,YN:3
"{A,B,E} -> {B,C} -> {C,D}",3,"{C,D,E}:1","{C,D,E}",X:3,Y1:3
"{B,E,H} -> {B,E}",3,"{E,F}:1;{B,E,G}:1;{B,E,F}:1","{E,F};{B,E,G};{B,E,F}",Z:3,Y2:3
"{B,D,E,G}",3,"{B,E}:2;{E,F,G}:1","{B,E};{E,F,G}",Z:3,Y2:3
"{B,C} -> {B,C,G}",3,"{C,D}:2;{D,E}:1","{C,D};{D,E}",X:3,Y1:3
"{C,D} -> {A,C,D}",3,,,X:3,Y1:3
"{B,C} -> {B,C} -> {C,D}",3,"{D,E}:1","{D,E}",X:3,Y1:3
"{B,E} -> {B,E,F} -> {E,F}",3,"{E,F,H}:1;{A,H}:1","{E,F,H};{A,H}",Z:3,Y2:3
"{B,C,H} -> {C,D}",3,"{C,D,G}:1","{C,D,G}",X:3,Y1:3
"{B,C} -> {B,C,H} -> {C,D}",3,"{C,D,G}:1","{C,D,G}",X:3,Y1:3
"{B,E} -> {B,E}",2,"{B,G}:1;{B,E,G}:1","{B,G};{B,E,G}",Z:2,Y2:2
"{B,G} -> {E,F}",2,"{E,F}:1","{E,F}",Z:2,Y2:2
"{A,B} -> {B,E} -> {B,E}",2,"{B,G}:1;{B,E,G}:1","{B,G};{B,E,G}",Z:2,Y2:2
"{C,E,G}",2,"{C,G}:1;{B,G}:1","{C,G};{B,G}",N:2,YN:2
"{C,G}",2,"{C,E,G}:1","{C,E,G}",N:1;Z:1,YN:1;Y2:1
"{B,E,F} -> {B,C,E}",2,"{B,G}:1;{E,F}:1","{B,G};{E,F}",Z:2,Y2:2
"{B,E} -> {B,E,F} -> {B,C,E}",2,"{B,G}:1;{E,F}:1","{B,G};{E,F}",Z:2,Y2:2
"{B,C,E} -> {C,D,G}",2,"{C,D}:2","{C,D}",X:2,Y1:2
"{B,C} -> {B,C,E} -> {C,D,G}",2,"{C,D}:2","{C,D}",X:2,Y1:2
"{B,C,E} -> {C,D,G} -> {C,D}",2,,,X:2,Y1:2
"{B,C,E} -> {C,E}",2,"{D,G}:1","{D,G}",N:2,YN:2
"{C,D} -> {D,H}",2,,,X:2,Y1:2
"{B,C} -> {C,D} -> {D,H}",2,,,X:2,Y1:2
"{B,C,E,F} -> {E,F}",2,"{E,F,H}:1","{E,F,H}",Z:2,Y2:2
"{A,B} -> {B,E} -> {B,D,E}",2,"{B,C,E,F}:1;{E,F}:1","{B,C,E,F};{E,F}",Z:2,Y2:2
"{A,B} -> {B,C,G}",2,"{B,C}:2","{B,C}",X:2,Y1:2
"{B,C,E} -> {C,D}",2,"{B,E,F}:1;{C,D,E}:1","{B,E,F};{C,D,E}",X:2,Y1:2
"{A,B} -> {B,C,G} -> {B,C}",2,"{B,C,F}:1;{A,B,C}:1","{B,C,F};{A,B,C}",X:2,Y1:2
"{A,B} -> {B,E} -> {B,C,E}",2,"{E,F}:1;{A,B,E,H}:1","{E,F};{A,B,E,H}",Z:2,Y2:2
"{A,G} -> {G,H}",2,"{A,E}:1","{A,E}",N:2,YN:2
"{A,B,F} -> {B,E} -> {E,F}",2,"{D,E}:1","{D,E}",Z:2,Y2:2
"{C,H} -> {B,C}",2,"{C,D}:1","{C,D}",N:1;X:1,YN:1;Y1:1
"{A,B,D} -> {B,E}",2,"{B,C,E,G}:1;{E,F}:1","{B,C,E,G};{E,F}",Z:2,Y2:2
"{A,E,H}",2,"{A,E,F,H}:1;{B,D,E,G}:1","{A,E,F,H};{B,D,E,G}",N:1;Z:1,YN:1;Y2:1
"{A,B} -> {A,B,E,G}",2,"{E,H}:1;{B,E}:1","{E,H};{B,E}",Z:2,Y2:2
"{A,B,D} -> {B,C}",2,"{C,D}:1;{B,C,E}:1","{C,D};{B,C,E}",X:2,Y1:2
