case_id,scale_id,sequence_length,classifier_mode,seed,expectation,episode_count,event_count,transition_count,motif_count,length3_motif_count,length3_support_mass,length3_top_support,length3_top_support_fraction,recurring_length3_fraction,full_sequence_motif_count,full_sequence_support_mass,full_sequence_top_support,full_sequence_top_support_fraction,recurring_full_sequence_fraction,length3_index_status_counts,full_sequence_index_status_counts,length3_background_recurrence_count,length3_ambiguous_evidence_count,full_sequence_background_recurrence_count,full_sequence_ambiguous_evidence_count,repeated_episode_instance_fraction,event_label_redundancy_fraction,transition_redundancy_fraction,compressibility_index,event_history_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,length3_outcome_purity_max,length3_outcome_purity_mean,length3_context_purity_max,length3_context_purity_mean,length3_outcome_entropy_max,length3_context_entropy_max,novelty_failure,failure_modes,evidence_index_failure,evidence_failure_modes,top5_length3_patterns,top5_full_sequence_indexed_patterns
uniform_branching,small,5,naive_recurrence,209,high_branch_entropy,60,300,240,99,30,73,5,0.027778,0.405556,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.036864,0.056175,0.166198,0.073171,0.0,0.138889,1.0,0.487222,1.0,1.0,2.321928,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,M} -> {E,F} | {A,B} -> {B,M} -> {G,H} | {A,B} -> {B,G} -> {M,N} | {A,B} -> {B,E} -> {K,L} | {I,J} -> {B,G} -> {C,D}",
unique_triplets,small,8,naive_recurrence,7,no_recurrence,60,480,420,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,8,naive_recurrence,108,no_recurrence,60,480,420,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,8,naive_recurrence,209,no_recurrence,60,480,420,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,8,naive_recurrence,7,partial_recurrence_only,60,480,420,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.125847,0.0,0.041949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,8,naive_recurrence,108,partial_recurrence_only,60,480,420,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.125847,0.0,0.041949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,8,naive_recurrence,209,partial_recurrence_only,60,480,420,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.125847,0.0,0.041949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,8,naive_recurrence,7,partial_recurrence_only,60,480,420,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.062992,0.0,0.020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,8,naive_recurrence,108,partial_recurrence_only,60,480,420,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.062992,0.0,0.020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,8,naive_recurrence,209,partial_recurrence_only,60,480,420,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.062992,0.0,0.020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
hidden_novelty_alias_collision,small,8,naive_recurrence,7,hidden_novelty,60,480,420,22,6,360,60,0.166667,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F} | {D,E} -> {E,F} -> {F,G} | {E,F} -> {F,G} -> {G,H}",
hidden_novelty_alias_collision,small,8,naive_recurrence,108,hidden_novelty,60,480,420,22,6,360,60,0.166667,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F} | {D,E} -> {E,F} -> {F,G} | {E,F} -> {F,G} -> {G,H}",
