case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,repeated_episode_instance_fraction,recurring_three_event_window_fraction,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
dropout_0.35,active_dropout,dropout_probability,0.35,expected_collapse,noncompressible_as_expected,46,2,0,,0.0,0.116949,0.0,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.35,0.0
dropout_0.50,active_dropout,dropout_probability,0.5,expected_collapse,noncompressible_as_expected,6,0,0,,0.0,0.020607,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.5,0.0
spurious_0.00,inactive_spurious_activity,spurious_probability,0.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
spurious_0.01,inactive_spurious_activity,spurious_probability,0.01,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,0.758955,0.0,0.969983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.01
spurious_0.03,inactive_spurious_activity,spurious_probability,0.03,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,0.515061,0.0,0.969933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.03
spurious_0.05,inactive_spurious_activity,spurious_probability,0.05,expected_collapse,noncompressible_as_expected,601,401,0,,0.0,0.382158,0.0,0.9698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.05
spurious_0.10,inactive_spurious_activity,spurious_probability,0.1,expected_collapse,noncompressible_as_expected,616,416,11,,0.0,0.244406,0.0,0.968508,0.0,0.0,0.0,0.0,0.000351,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.1
spurious_0.20,inactive_spurious_activity,spurious_probability,0.2,expected_collapse,noncompressible_as_expected,774,574,78,,0.0,0.199554,0.0,0.955233,0.0,0.0,0.0,0.0,0.001863,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.2
min_participants_1,participant_cardinality,min_participants,1.0,expected_collapse,noncompressible_as_expected,601,401,0,,0.0,1.000833,0.000833,0.969975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,1,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_2,participant_cardinality,min_participants,2.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_3,participant_cardinality,min_participants,3.0,expected_collapse,noncompressible_as_expected,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,3,1.0,0.05,0.03,0.01,0.0,0.0
