seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
2,209,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,610,410,37,59;56;56,0.933333,59;56;56,56,171,0.9884393063583815,0.055106,1;3;2,3,173,4,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {B,G} -> {A,B} -> {E,F}",1.20107,0.20107,0.966667,0.975,0.00813,0.958537,0.543754,0.82381,0.835
2,209,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,610,410,37,59;56;55,0.916667,59;56;55,55,170,0.9770114942528736,0.060344,1;2;3,3,174,5,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,G} -> {B,E} | {B,G} -> {B,E} -> {E,F}",1.200624,0.200624,0.95082,0.966942,0.008065,0.942755,0.54501,0.828571,0.84
2,209,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,637,437,46,57;57;54,0.9,57;57;54,54,168,0.8936170212765957,-0.006383,2;1;3,3,188,9,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,G}",0.557289,0.0,0.880597,0.913386,0.03876,0.841837,0.522353,0.793249,0.805
2,209,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,793,593,126,38;39;42,0.633333,38;39;42,38,119,0.5560747663551402,-0.077258,3;2;1,3,214,35,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,G} -> {B,G}",0.799376,0.0,0.553191,0.648485,0.082353,0.470839,0.368745,0.544529,0.515
2,209,hostile_unique,sliding_window_low_threshold,sliding_window,none,expected_collapse,noncompressible_as_expected,951,751,96,,0.0,,0,0,0.0,0.0,,0,0,0,,0.855096,0.0,0.0,0.0,0.0,0.0,0.001739,0.0,0.0
2,209,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,expected_collapse,noncompressible_as_expected,829,629,166,,0.0,,0,0,0.0,0.0,,0,0,0,,0.686344,0.0,0.0,0.0,0.0,0.0,0.006132,0.0,0.0
2,209,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,781,581,148,,0.0,,0,0,0.0,0.0,,0,0,0,,0.664314,0.0,0.0,0.0,0.0,0.0,0.004654,0.0,0.0
2,209,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,779,579,141,,0.0,,0,0,0.0,0.0,,0,0,0,,0.282751,0.0,0.0,0.0,0.0,0.0,0.004916,0.0,0.0
2,209,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1735,1535,516,,0.0,,0,0,0.0,0.0,,0,4,2,"{U13,U37} -> {U03,U37} -> {U03,U29} | {U24,U29} -> {U18,U33} -> {U17,U30}",0.571062,0.0,0.0,0.0,0.0,0.0,0.009738,0.002996,0.0
3,310,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,448,308,40,49;47,0.783333,49;47,47,96,0.96,0.176667,1;2,2,100,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {A,E,F} | {B,E,G} -> {B,E} -> {E,F}",1.262987,0.262987,0.923077,0.928571,0.0,0.923077,0.439528,0.595238,0.657143
