world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
branch,dropout,hysteresis_loose,hysteresis,none,2,degraded,motif_degradation;history_prediction_degradation,0.756279,460,45,0.9,0.950313,0.0,0.867925,0.79424,0.520677,320,54;55,0.915789,0.073684,0.85,0.835714
branch,dropout,hysteresis_low_threshold,hysteresis,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.776449,443,36,0.9,0.948911,0.0,0.933333,0.933333,0.527478,303,54;56,0.965517,0.0,0.828221,0.85
branch,dropout,hysteresis_high_threshold,hysteresis,none,2,degraded,motif_degradation;history_prediction_degradation,0.779807,455,39,0.916667,0.958529,0.0,0.941176,0.898166,0.534725,315,59;55,0.935484,0.043011,0.851429,0.835714
branch,dropout,hybrid_default,hybrid_state_window,none,2,degraded,coverage_degradation,0.754656,414,27,0.95,0.710778,0.0,1.0,1.0,0.56147,274,57;57,0.987654,0.0,0.880597,0.842857
branch,dropout,hybrid_strict_local,hybrid_state_window,none,2,failed,undercapture;motif_loss,0.407565,336,24,0.466667,0.462824,0.0,1.0,0.983333,0.518306,198,31;28,0.85,0.016667,0.855072,0.84058
branch,dropout,hybrid_loose_local,hybrid_state_window,none,2,degraded,coverage_degradation,0.753663,422,30,0.966667,0.72,0.0,0.976744,0.953215,0.549258,282,58;58,0.964706,0.023529,0.866197,0.842857
branch,dropout,hybrid_fast_decay,hybrid_state_window,none,2,degraded,coverage_degradation;motif_degradation,0.730839,424,33,0.916667,0.71226,0.0,0.95122,0.890979,0.530389,284,55;55,0.903614,0.060241,0.841379,0.821429
branch,dropout,hybrid_high_commit,hybrid_state_window,none,2,degraded,coverage_degradation;motif_degradation,0.749169,421,26,0.933333,0.710133,0.0,1.0,0.988095,0.538341,281,56;57,0.988095,0.011905,0.829787,0.828571
branch,dropout,union_default,union_state_window,none,2,degraded,motif_degradation;history_prediction_degradation,0.751537,461,39,0.883333,0.95645,0.0,0.862069,0.782069,0.535656,321,53;55,0.89,0.08,0.867403,0.842857
branch,dropout,union_fast_decay,union_state_window,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.77481,452,40,0.9,0.946264,0.0,0.938776,0.916797,0.532556,312,54;56,0.945055,0.021978,0.854651,0.842857
branch,dropout,union_high_commit,union_state_window,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.757653,457,39,0.866667,0.949478,0.0,0.901961,0.85895,0.527268,317,52;54,0.924731,0.043011,0.847458,0.835714
branch,dropout,union_low_threshold,union_state_window,none,2,failed,overcapture,0.544615,417,27,0.983333,1.50609,0.50609,1.0,1.0,0.553298,277,59;60,1.0,0.0,0.868613,0.85
branch,dropout,union_top_intensity_pair,union_state_window,top_intensity_pair,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.765335,454,40,0.9,0.948117,0.0,0.921569,0.835547,0.520877,314,59;54,0.935484,0.086022,0.833333,0.828571
branch,dropout,union_frequent_subset_pair,union_state_window,frequent_subset_pair,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.774646,442,41,0.916667,0.94684,0.0,0.916667,0.894444,0.530526,302,55;56,0.944444,0.022222,0.851852,0.842857
branch,dropout,union_consensus_pair,union_state_window,consensus_pair,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.767977,460,39,0.916667,0.949833,0.0,0.929825,0.808612,0.531639,320,55;56,0.888889,0.121212,0.866667,0.835714
branch,dropout,union_consensus_fast_decay,union_state_window,consensus_pair,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.732838,466,41,0.866667,0.945073,0.0,0.8,0.721569,0.532914,326,52;55,0.872549,0.078431,0.870968,0.842857
branch,dropout,sliding_low_consensus_pair,sliding_window,consensus_pair,2,failed,overcapture,0.538788,417,28,0.966667,1.514393,0.514393,1.0,1.0,0.549277,277,59;58,1.0,0.0,0.854015,0.85
branch,dropout,hybrid_fast_consensus_pair,hybrid_state_window,consensus_pair,2,degraded,coverage_degradation;history_prediction_degradation,0.73192,427,30,0.95,0.708977,0.0,0.911111,0.865134,0.54592,287,59;57,0.942529,0.045977,0.857143,0.842857
branch,spurious,sliding_window_default,sliding_window,none,2,degraded,coverage_degradation,0.781339,420,26,1.0,0.781694,0.0,1.0,1.0,0.553689,280,60;60,1.0,0.0,0.857143,0.857143
branch,spurious,sliding_window_short,sliding_window,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.755205,433,34,0.933333,0.804124,0.0,0.930233,0.930233,0.50951,293,59;56,0.942529,0.0,0.751634,0.792857
branch,spurious,sliding_window_long,sliding_window,none,2,failed,undercapture;motif_loss,0.318336,195,18,0.033333,0.550015,0.0,1.0,1.0,0.51109,71,2;8,0.653846,0.0,1.0,0.862903
branch,spurious,sliding_window_low_threshold,sliding_window,none,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,0.694815,459,50,0.816667,1.308123,0.308123,0.886364,0.886364,0.441419,319,49;52,0.953488,0.0,0.608939,0.714286
branch,spurious,sliding_window_high_threshold,sliding_window,none,2,degraded,coverage_degradation,0.782455,420,26,0.983333,0.80811,0.0,1.0,1.0,0.552479,280,60;59,1.0,0.0,0.85,0.85
branch,spurious,heu_default,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.263018,868,222,0.1,0.930833,0.0,0.259259,0.259259,0.22987,728,6;15,0.367442,0.0,0.360544,0.042857
branch,spurious,heu_fast_decay,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.282316,864,238,0.133333,0.922158,0.0,0.327586,0.317924,0.230089,724,8;8,0.365482,0.009662,0.371575,0.042857
branch,spurious,heu_slow_decay,heu_like,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.106461,1070,302,0.05,1.710195,0.710195,0.18,0.18,0.200388,930,3;4,0.324427,0.0,0.318987,0.0
branch,spurious,heu_high_commit,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.281853,874,235,0.116667,0.930098,0.0,0.333333,0.333333,0.2255,734,7;12,0.455959,0.0,0.346801,0.05
branch,spurious,heu_low_commit,heu_like,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.16258,994,263,0.033333,1.371622,0.371622,0.142857,0.142857,0.14395,854,5;2,0.278761,0.0,0.182073,0.021429
