environment_id,world,detector_variant,detector,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction,window_size,activation_threshold,dropout_probability,spurious_probability,heu_attack_rate,heu_recovery_rate,heu_leak_rate,heu_commitment_threshold,hysteresis_off_ratio,hybrid_local_threshold_ratio,event_decoder,decoder_subset_size
overlap_spurious,overlap,hysteresis_loose,hysteresis,failed,coverage_degradation;motif_loss;history_prediction_failure,1258,1058,320,9;8;7,0.116667,0.926298,0.0,0.305556,0.447552,0.006689,0.298867,0.263711,0.407925,0.025,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.35,0.75,none,2
overlap_spurious,overlap,hysteresis_low_threshold,hysteresis,failed,coverage_degradation;motif_loss;history_prediction_failure,1217,1017,305,11;2;15,0.033333,0.931447,0.0,0.322034,0.454874,0.0,0.322034,0.256022,0.383109,0.075,3,0.6,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,hysteresis_high_threshold,hysteresis,failed,coverage_degradation;motif_loss;history_prediction_failure,1224,1024,313,8;13;11,0.133333,0.933642,0.0,0.323529,0.369176,0.0,0.323529,0.266061,0.413835,0.02,3,0.9,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,hybrid_default,hybrid_state_window,failed,undercapture;motif_degradation;history_prediction_degradation,683,483,82,52;53;49,0.816667,0.629766,0.0,0.815789,0.876812,0.0,0.815789,0.468716,0.69258,0.7,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,hybrid_strict_local,hybrid_state_window,failed,undercapture;history_prediction_degradation,660,460,57,59;60;58,0.966667,0.448372,0.0,0.835443,0.985185,0.0,0.835443,0.533947,0.85,0.85,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.95,none,2
overlap_spurious,overlap,hybrid_loose_local,hybrid_state_window,failed,undercapture;motif_degradation;history_prediction_degradation,774,574,101,56;52;53,0.866667,0.639845,0.0,0.71028,0.794286,0.005495,0.704786,0.476328,0.759358,0.66,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.55,none,2
overlap_spurious,overlap,hybrid_fast_decay,hybrid_state_window,failed,undercapture;motif_degradation;history_prediction_degradation,691,491,76,51;51;54,0.85,0.623502,0.0,0.824324,0.913043,0.0,0.824324,0.468965,0.683849,0.705,3,0.75,0.0,0.05,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_spurious,overlap,hybrid_high_commit,hybrid_state_window,failed,undercapture;motif_degradation;history_prediction_degradation,687,487,74,55;50;50,0.833333,0.624249,0.0,0.764706,0.908397,0.007042,0.757664,0.464071,0.672474,0.715,3,0.75,0.0,0.05,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_spurious,overlap,union_default,union_state_window,failed,overcapture_degradation;motif_loss;history_prediction_failure,1095,895,280,12;10;9,0.15,1.127313,0.127313,0.272109,0.285714,0.003731,0.268378,0.246045,0.376978,0.09,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,union_fast_decay,union_state_window,failed,overcapture_degradation;motif_loss;history_prediction_failure,1159,959,266,8;8;8,0.133333,1.141362,0.141362,0.215686,0.302326,0.00361,0.212076,0.209345,0.279315,0.06,3,0.75,0.0,0.05,0.8,0.6,0.05,0.65,0.55,0.75,none,2
