pattern,support,variants,predicted_next_events,contexts,outcomes
"{U05,U29}",2,"{U05,U09,U20,U24,U29,U36}:1;{U02,U04,U14,U32}:1","{U05,U09,U20,U24,U29,U36};{U02,U04,U14,U32}",CTX_0083:1;CTX_0128:1,OUT_0083:1;OUT_0128:1
"{U02,U35}",2,"{U02,U12,U19,U35}:1;{U10,U13,U32,U39}:1","{U02,U12,U19,U35};{U10,U13,U32,U39}",CTX_0085:1;CTX_0166:1,OUT_0085:1;OUT_0166:1
"{U18,U36}",2,"{U02,U07,U09,U14,U20,U22}:1;{U05,U15,U16,U20,U23,U31}:1","{U02,U07,U09,U14,U20,U22};{U05,U15,U16,U20,U23,U31}",CTX_0087:1;CTX_0105:1,OUT_0087:1;OUT_0105:1
"{U14,U23}",2,"{U02,U14,U20,U23,U28}:1","{U02,U14,U20,U23,U28}",CTX_0087:1;CTX_0177:1,OUT_0087:1;OUT_0177:1
"{U04,U29}",2,"{U04,U37}:1;{U02,U04,U12,U29,U37}:1","{U04,U37};{U02,U04,U12,U29,U37}",CTX_0087:1;CTX_0180:1,OUT_0087:1;OUT_0180:1
"{U04,U37}",2,"{U04,U23,U24,U36,U37}:1","{U04,U23,U24,U36,U37}",CTX_0087:1;CTX_0136:1,OUT_0087:1;OUT_0136:1
"{U11,U26}",2,"{U01,U11,U14,U22,U36,U37}:1;{U03,U06,U11,U17,U25,U26}:1","{U01,U11,U14,U22,U36,U37};{U03,U06,U11,U17,U25,U26}",CTX_0089:1;CTX_0187:1,OUT_0089:1;OUT_0187:1
"{U10,U26}",2,"{U16,U38}:1;{U10,U13,U15,U26,U39}:1","{U16,U38};{U10,U13,U15,U26,U39}",CTX_0090:1;CTX_0154:1,OUT_0090:1;OUT_0154:1
"{U33,U37,U39}",2,"{U11,U38}:1;{U14,U15,U23}:1","{U11,U38};{U14,U15,U23}",CTX_0090:1;CTX_0148:1,OUT_0090:1;OUT_0148:1
"{U30,U34}",2,"{U30,U31,U34}:1","{U30,U31,U34}",CTX_0091:1;CTX_0153:1,OUT_0091:1;OUT_0153:1
"{U23,U24}",2,"{U15,U33,U35}:1;{U23,U24,U33}:1","{U15,U33,U35};{U23,U24,U33}",CTX_0092:1;CTX_0124:1,OUT_0092:1;OUT_0124:1
"{U17,U32}",2,"{U17,U22,U36}:1;{U14,U17,U29,U31,U32}:1","{U17,U22,U36};{U14,U17,U29,U31,U32}",CTX_0093:1;CTX_0125:1,OUT_0093:1;OUT_0125:1
"{U19,U30}",2,"{U07,U15,U32}:1;{U09,U16,U19,U30}:1","{U07,U15,U32};{U09,U16,U19,U30}",CTX_0093:1;CTX_0106:1,OUT_0093:1;OUT_0106:1
"{U10,U25}",2,"{U09,U10,U24,U25,U27,U29,U34}:1;{U20,U21,U23}:1","{U09,U10,U24,U25,U27,U29,U34};{U20,U21,U23}",CTX_0095:1;CTX_0179:1,OUT_0095:1;OUT_0179:1
"{U07,U29}",2,"{U13,U30}:1;{U07,U22,U29}:1","{U13,U30};{U07,U22,U29}",CTX_0095:1;CTX_0115:1,OUT_0095:1;OUT_0115:1
"{U00,U32}",2,"{U05,U36}:1;{U00,U08,U15,U20,U32}:1","{U05,U36};{U00,U08,U15,U20,U32}",CTX_0096:1;CTX_0104:1,OUT_0096:1;OUT_0104:1
"{U01,U23}",2,"{U01,U02,U07,U18,U23,U34}:1;{U31,U39}:1","{U01,U02,U07,U18,U23,U34};{U31,U39}",CTX_0097:1;CTX_0129:1,OUT_0097:1;OUT_0129:1
"{U14,U18,U20}",2,"{U04,U14,U20}:1;{U02,U06,U11}:1","{U04,U14,U20};{U02,U06,U11}",CTX_0097:1;CTX_0181:1,OUT_0097:1;OUT_0181:1
"{U09,U34}",2,"{U09,U11,U12,U31,U32,U34}:1;{U14,U19,U26,U32,U37}:1","{U09,U11,U12,U31,U32,U34};{U14,U19,U26,U32,U37}",CTX_0098:1;CTX_0196:1,OUT_0098:1;OUT_0196:1
"{U08,U11,U28}",2,"{U11,U24}:1;{U09,U15,U18,U37}:1","{U11,U24};{U09,U15,U18,U37}",CTX_0101:1;CTX_0169:1,OUT_0101:1;OUT_0169:1
"{U05,U26}",2,"{U10,U16,U17,U21,U33,U36}:1;{U05,U07,U18,U26,U30}:1","{U10,U16,U17,U21,U33,U36};{U05,U07,U18,U26,U30}",CTX_0102:1;CTX_0151:1,OUT_0102:1;OUT_0151:1
"{U29,U31}",2,"{U11,U24,U29,U31}:1;{U12,U39}:1","{U11,U24,U29,U31};{U12,U39}",CTX_0103:1;CTX_0161:1,OUT_0103:1;OUT_0161:1
"{U03,U39}",2,"{U03,U04,U39}:1;{U01,U06,U27,U28}:1","{U03,U04,U39};{U01,U06,U27,U28}",CTX_0108:1;CTX_0138:1,OUT_0108:1;OUT_0138:1
"{U04,U08}",2,"{U03,U16,U38}:1;{U09,U12,U14}:1","{U03,U16,U38};{U09,U12,U14}",CTX_0108:1;CTX_0153:1,OUT_0108:1;OUT_0153:1
"{U01,U21}",2,"{U01,U11,U21}:1;{U01,U21,U23}:1","{U01,U11,U21};{U01,U21,U23}",CTX_0109:1;CTX_0139:1,OUT_0109:1;OUT_0139:1
"{U21,U35}",2,"{U35,U38}:1;{U21,U35,U38,U39}:1","{U35,U38};{U21,U35,U38,U39}",CTX_0109:1;CTX_0116:1,OUT_0109:1;OUT_0116:1
"{U36,U38}",2,"{U29,U36,U38}:1;{U01,U03,U05,U13,U32}:1","{U29,U36,U38};{U01,U03,U05,U13,U32}",CTX_0111:1;CTX_0176:1,OUT_0111:1;OUT_0176:1
"{U27,U35}",2,"{U09,U15,U16,U18,U39}:1","{U09,U15,U16,U18,U39}",CTX_0111:1;CTX_0150:1,OUT_0111:1;OUT_0150:1
"{U09,U11}",2,"{U02,U06,U13,U17,U22}:1;{U04,U24,U28}:1","{U02,U06,U13,U17,U22};{U04,U24,U28}",CTX_0112:1;CTX_0186:1,OUT_0112:1;OUT_0186:1
"{U26,U27}",2,"{U25,U26,U27,U28}:1","{U25,U26,U27,U28}",CTX_0114:1;CTX_0192:1,OUT_0114:1;OUT_0192:1
"{U13,U27}",2,"{U01,U13,U27,U37}:1;{U12,U19,U35,U38}:1","{U01,U13,U27,U37};{U12,U19,U35,U38}",CTX_0116:1;CTX_0149:1,OUT_0116:1;OUT_0149:1
"{U34,U35}",2,"{U07,U26,U29}:1;{U04,U30,U31,U34,U35}:1","{U07,U26,U29};{U04,U30,U31,U34,U35}",CTX_0118:1;CTX_0176:1,OUT_0118:1;OUT_0176:1
"{U21,U39}",2,"{U18,U25,U26}:1;{U11,U12,U21,U39}:1","{U18,U25,U26};{U11,U12,U21,U39}",CTX_0120:1;CTX_0140:1,OUT_0120:1;OUT_0140:1
"{U09,U10}",2,"{U11,U14}:1;{U09,U10,U25,U27}:1","{U11,U14};{U09,U10,U25,U27}",CTX_0121:1;CTX_0160:1,OUT_0121:1;OUT_0160:1
"{U09,U16}",2,"{U02,U09,U16,U30}:1","{U02,U09,U16,U30}",CTX_0121:1;CTX_0169:1,OUT_0121:1;OUT_0169:1
"{U06,U13}",2,"{U02,U27}:1;{U05,U06,U13,U20,U33}:1","{U02,U27};{U05,U06,U13,U20,U33}",CTX_0123:1;CTX_0141:1,OUT_0123:1;OUT_0141:1
"{U02,U27}",2,"{U02,U27,U35}:1;{U12,U13,U15,U16,U23}:1","{U02,U27,U35};{U12,U13,U15,U16,U23}",CTX_0123:1;CTX_0172:1,OUT_0123:1;OUT_0172:1
"{U09,U26}",2,"{U05,U09,U21,U26,U27}:1","{U05,U09,U21,U26,U27}",CTX_0123:1;CTX_0129:1,OUT_0123:1;OUT_0129:1
"{U08,U16}",2,"{U05,U23,U33}:1;{U19,U36}:1","{U05,U23,U33};{U19,U36}",CTX_0126:1;CTX_0132:1,OUT_0126:1;OUT_0132:1
"{U15,U18}",2,"{U07,U18,U38}:1;{U00,U05,U29}:1","{U07,U18,U38};{U00,U05,U29}",CTX_0127:2,OUT_0127:2
"{U20,U25,U32}",2,"{U19,U20,U32}:1;{U00,U06,U14,U22,U25,U29,U34}:1","{U19,U20,U32};{U00,U06,U14,U22,U25,U29,U34}",CTX_0128:1;CTX_0135:1,OUT_0128:1;OUT_0135:1
"{U31,U39}",2,"{U28,U37}:1;{U13,U35,U39}:1","{U28,U37};{U13,U35,U39}",CTX_0129:1;CTX_0182:1,OUT_0129:1;OUT_0182:1
"{U28,U37}",2,"{U28,U36,U37}:1;{U15,U34}:1","{U28,U36,U37};{U15,U34}",CTX_0129:1;CTX_0194:1,OUT_0129:1;OUT_0194:1
"{U32,U39}",2,"{U15,U24,U32,U39}:1;{U16,U26}:1","{U15,U24,U32,U39};{U16,U26}",CTX_0131:1;CTX_0197:1,OUT_0131:1;OUT_0197:1
"{U18,U20}",2,"{U17,U18,U20}:1;{U13,U22,U31}:1","{U17,U18,U20};{U13,U22,U31}",CTX_0133:1;CTX_0179:1,OUT_0133:1;OUT_0179:1
"{U07,U08,U32}",2,"{U07,U08}:1","{U07,U08}",CTX_0134:1;CTX_0154:1,OUT_0134:1;OUT_0154:1
"{U07,U08}",2,"{U06,U07,U08,U25}:1;{U07,U21,U30}:1","{U06,U07,U08,U25};{U07,U21,U30}",CTX_0134:1;CTX_0179:1,OUT_0134:1;OUT_0179:1
"{U16,U19}",2,"{U01,U08,U28,U31}:1;{U00,U13,U16,U19}:1","{U01,U08,U28,U31};{U00,U13,U16,U19}",CTX_0136:1;CTX_0151:1,OUT_0136:1;OUT_0151:1
"{U00,U16}",2,"{U00,U11,U16,U19}:1","{U00,U11,U16,U19}",CTX_0140:1;CTX_0174:1,OUT_0140:1;OUT_0174:1
"{U00,U31}",2,"{U00,U16,U31}:1","{U00,U16,U31}",CTX_0142:1;CTX_0164:1,OUT_0142:1;OUT_0164:1
"{U19,U27}",2,"{U00,U06,U25,U33}:1;{U19,U27,U33}:1","{U00,U06,U25,U33};{U19,U27,U33}",CTX_0144:1;CTX_0165:1,OUT_0144:1;OUT_0165:1
"{U15,U16}",2,"{U00,U12,U30,U39}:1;{U06,U07,U08,U24,U39}:1","{U00,U12,U30,U39};{U06,U07,U08,U24,U39}",CTX_0144:1;CTX_0183:1,OUT_0144:1;OUT_0183:1
"{U03,U16}",2,"{U03,U14,U16,U23,U25}:1;{U03,U19,U26}:1","{U03,U14,U16,U23,U25};{U03,U19,U26}",CTX_0145:1;CTX_0152:1,OUT_0145:1;OUT_0152:1
"{U00,U35}",2,"{U00,U02,U08,U32,U35}:1;{U03,U04,U06,U12,U26}:1","{U00,U02,U08,U32,U35};{U03,U04,U06,U12,U26}",CTX_0147:1;CTX_0185:1,OUT_0147:1;OUT_0185:1
"{U06,U08}",2,"{U00,U03}:1;{U04,U06,U28}:1","{U00,U03};{U04,U06,U28}",CTX_0147:1;CTX_0181:1,OUT_0147:1;OUT_0181:1
